Title,Genres,Status,User Score
"""Oshi no Ko""","['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz']",Completed,9
100-man no Inochi no Ue ni Ore wa Tatteiru,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai', 'Shounen']",Completed,8
16bit Sensation: Another Layer,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Sci-Fi', 'Time Travel', 'Workplace']",Completed,8
30-sai no Hoken Taiiku,"['Adult Cast', 'Comedy', 'Ecchi', 'Parody', 'Romance']",Completed,7
3D Kanojo: Real Girl,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Completed,6
3D Kanojo: Real Girl 2nd Season,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Completed,8
5-toubun no Hanayome,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed,8
7 Seeds,"['Adventure', 'Drama', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi', 'Shoujo', 'Survival', 'Suspense']",Completed,0
86,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Completed,0
Africa no Salaryman (TV),"['Anthropomorphic', 'Comedy', 'Workplace']",Completed,0
Aggressive Retsuko (ONA),"['Anthropomorphic', 'Comedy', 'Workplace']",Completed,0
Aggressive Retsuko (ONA) 2nd Season,"['Anthropomorphic', 'Comedy', 'Workplace']",Completed,0
Aggressive Retsuko (ONA) 3rd Season,"['Anthropomorphic', 'Comedy', 'Workplace']",Completed,0
Aharen-san wa Hakarenai,"['Comedy', 'Romance', 'School', 'Shounen']",Completed,7
Aho Girl,"['Comedy', 'Gag Humor', 'School', 'Shounen']",Completed,0
Ai Tenchi Muyou!,"['Comedy', 'Sci-Fi']",Completed,0
Akagami no Shirayuki-hime,"['Drama', 'Medical', 'Romance', 'Shoujo']",Completed,0
Akame ga Kill!,"['Action', 'Fantasy', 'Gore', 'Shounen']",Completed,0
Akkun to Kanojo,"['Comedy', 'Josei', 'Romance', 'School']",Completed,0
Akudama Drive,"['Action', 'Adult Cast', 'Gore', 'Sci-Fi', 'Suspense']",Completed,8
Akuyaku Reijou nanode Last Boss wo Kattemimashita,"['Comedy', 'Fantasy', 'Isekai', 'Romance', 'Shoujo', 'Villainess']",Completed,7
Amaama to Inazuma,"['Childcare', 'Gourmet', 'Iyashikei', 'Seinen', 'Slice of Life']",Completed,0
Amagami SS,"['Harem', 'Romance', 'School']",Completed,0
Amagami SS OVA,"['Harem', 'Romance', 'School']",Completed,0
Amagami SS+ Plus,"['Harem', 'Romance', 'School']",Completed,0
Amagami SS: Tachibana Miya-hen - Imouto,['School'],Completed,0
Amagi Brilliant Park,"['Comedy', 'Supernatural', 'Workplace']",Completed,0
Ane Log: Moyako Neesan no Tomaranai Monologue,"['Comedy', 'Ecchi', 'School', 'Shounen']",Completed,0
Angel Beats!,"['Drama', 'Fantasy', 'School']",Completed,9
Angel Beats! Specials,"['Comedy', 'Fantasy', 'School']",Completed,0
Anime Tenchou x Touhou Project,['Fantasy'],Completed,0
Anne Happy♪,"['CGDCT', 'School', 'Slice of Life']",Completed,0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Drama', 'Supernatural']",Completed,0
Another,"['Gore', 'Horror', 'Mystery', 'School']",Completed,6
Ao Haru Ride,"['Love Polygon', 'Romance', 'School', 'Shoujo']",Completed,0
Ao no Exorcist,"['Action', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed,0
Araburu Kisetsu no Otome-domo yo.,"['Drama', 'Romance', 'School', 'Shounen']",Completed,0
Arakawa Under the Bridge,"['Comedy', 'Romance', 'Seinen']",Completed,9
Arakawa Under the Bridge x Bridge,"['Comedy', 'Romance', 'Seinen']",Completed,0
Asobi Asobase,"['Comedy', 'Gag Humor', 'School', 'Seinen']",Completed,8
Asobi ni Iku yo!,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci-Fi']",Completed,0
Assassins Pride,['Fantasy'],Completed,0
Assault Lily: Bouquet,"['Action', 'Fantasy']",Completed,0
B: The Beginning,"['Action', 'Detective', 'Mystery', 'Psychological', 'Super Power', 'Suspense']",Completed,0
Back Street Girls: Gokudolls,"['Comedy', 'Ecchi', 'Gag Humor', 'Magical Sex Shift', 'Organized Crime', 'Seinen', 'Workplace']",Completed,0
Baka to Test to Shoukanjuu,"['Comedy', 'Love Polygon', 'Romance', 'School']",Completed,0
Bakugan Battle Brawlers: New Vestroia,"['Adventure', 'Fantasy', 'Strategy Game']",Completed,8
Barakamon,"['Childcare', 'Iyashikei', 'Slice of Life', 'Visual Arts']",Completed,10
Beastars,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']",Completed,0
Beastars 2nd Season,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']",Completed,0
Beelzebub,"['Action', 'Childcare', 'Comedy', 'Delinquents', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed,7
Ben-To,"['Action', 'Comedy', 'Gourmet', 'Martial Arts']",Completed,7
Binbougami ga!,"['Comedy', 'Gag Humor', 'Parody', 'Shounen', 'Supernatural']",Completed,0
Blend S,"['Comedy', 'Otaku Culture', 'Workplace']",Completed,7
Bocchi the Rock!,"['CGDCT', 'Comedy', 'Music']",Completed,8
Boku dake ga Inai Machi,"['Mystery', 'Psychological', 'Seinen', 'Suspense', 'Time Travel']",Completed,9
Boku no Hero Academia,"['Action', 'School', 'Shounen', 'Super Power']",Completed,8
Boku no Hero Academia 2nd Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed,8
Boku no Hero Academia 3rd Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed,7
Boku no Hero Academia 4th Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed,0
Boku no Hero Academia the Movie 1: Futari no Hero,"['Action', 'Shounen', 'Super Power']",Completed,8
Boku no Kokoro no Yabai Yatsu,"['Comedy', 'Romance', 'School', 'Shounen']",Completed,7
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,"['Comedy', 'Josei', 'School']",Completed,0
Bokura wa Minna Kawai-sou,"['Love Status Quo', 'School', 'Seinen', 'Slice of Life']",Completed,0
Bokura wa Minna Kawai-sou: Hajimete no,"['Love Status Quo', 'School', 'Seinen', 'Slice of Life']",Completed,0
