Genre,Importance
Award Winning,2.19
Drama,12.22
Reincarnation,3.35
Seinen,8.19
Showbiz,0.4
Action,20.06
Adventure,11.64
Fantasy,19.86
Isekai,8.32
Shounen,21.6
Adult Cast,4.54
Comedy,42.02
Otaku Culture,4.56
Sci-Fi,7.39
Time Travel,1.28
Workplace,2.85
Ecchi,9.36
Romance,24.66
School,27.54
Shoujo,2.25
Harem,9.05
Mystery,3.22
Psychological,4.8
Survival,1.18
Suspense,5.86
Mecha,1.88
Military,1.69
Gore,4.48
Josei,0.85
Villainess,0.4
Childcare,1.48
Gourmet,0.94
Iyashikei,1.03
Supernatural,8.54
Horror,4.33
Love Polygon,3.02
Detective,0.4
Super Power,2.73
Magical Sex Shift,0.4
Organized Crime,0.93
Strategy Game,1.26
Visual Arts,1.35
Delinquents,0.6
Martial Arts,0.83
Music,0.68
Love Status Quo,2.85
Urban Fantasy,2.99
High Stakes Game,0.86
Vampire,1.43
Avant Garde,0.8
Video Game,1.89
Erotica,0.2
Reverse Harem,0.4
Sports,0.2
