Title,Genres,Status
"""Oshi no Ko""","['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz']",Completed
100-man no Inochi no Ue ni Ore wa Tatteiru,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai', 'Shounen']",Completed
16bit Sensation: Another Layer,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Sci-Fi', 'Time Travel', 'Workplace']",Completed
30-sai no Hoken Taiiku,"['Adult Cast', 'Comedy', 'Ecchi', 'Parody', 'Romance']",Completed
3D Kanojo: Real Girl,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Completed
3D Kanojo: Real Girl 2nd Season,"['Otaku Culture', 'Romance', 'School', 'Shoujo']",Completed
5-toubun no Hanayome,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
7 Seeds,"['Adventure', 'Drama', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi', 'Shoujo', 'Survival', 'Suspense']",Completed
86,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Completed
Africa no Salaryman (TV),"['Anthropomorphic', 'Comedy', 'Workplace']",Completed
Aggressive Retsuko (ONA),"['Anthropomorphic', 'Comedy', 'Workplace']",Completed
Aggressive Retsuko (ONA) 2nd Season,"['Anthropomorphic', 'Comedy', 'Workplace']",Completed
Aggressive Retsuko (ONA) 3rd Season,"['Anthropomorphic', 'Comedy', 'Workplace']",Completed
Aharen-san wa Hakarenai,"['Comedy', 'Romance', 'School', 'Shounen']",Completed
Aho Girl,"['Comedy', 'Gag Humor', 'School', 'Shounen']",Completed
Ai Tenchi Muyou!,"['Comedy', 'Sci-Fi']",Completed
Akagami no Shirayuki-hime,"['Drama', 'Medical', 'Romance', 'Shoujo']",Completed
Akame ga Kill!,"['Action', 'Fantasy', 'Gore', 'Shounen']",Completed
Akkun to Kanojo,"['Comedy', 'Josei', 'Romance', 'School']",Completed
Akudama Drive,"['Action', 'Adult Cast', 'Gore', 'Sci-Fi', 'Suspense']",Completed
Akuyaku Reijou nanode Last Boss wo Kattemimashita,"['Comedy', 'Fantasy', 'Isekai', 'Romance', 'Shoujo', 'Villainess']",Completed
Amaama to Inazuma,"['Childcare', 'Gourmet', 'Iyashikei', 'Seinen', 'Slice of Life']",Completed
Amagami SS,"['Harem', 'Romance', 'School']",Completed
Amagami SS OVA,"['Harem', 'Romance', 'School']",Completed
Amagami SS+ Plus,"['Harem', 'Romance', 'School']",Completed
Amagami SS: Tachibana Miya-hen - Imouto,['School'],Completed
Amagi Brilliant Park,"['Comedy', 'Supernatural', 'Workplace']",Completed
Ane Log: Moyako Neesan no Tomaranai Monologue,"['Comedy', 'Ecchi', 'School', 'Shounen']",Completed
Angel Beats!,"['Drama', 'Fantasy', 'School']",Completed
Angel Beats! Specials,"['Comedy', 'Fantasy', 'School']",Completed
Anime Tenchou x Touhou Project,['Fantasy'],Completed
Anne Happy♪,"['CGDCT', 'School', 'Slice of Life']",Completed
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Drama', 'Supernatural']",Completed
Another,"['Gore', 'Horror', 'Mystery', 'School']",Completed
Ao Haru Ride,"['Love Polygon', 'Romance', 'School', 'Shoujo']",Completed
Ao no Exorcist,"['Action', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed
Araburu Kisetsu no Otome-domo yo.,"['Drama', 'Romance', 'School', 'Shounen']",Completed
Arakawa Under the Bridge,"['Comedy', 'Romance', 'Seinen']",Completed
Arakawa Under the Bridge x Bridge,"['Comedy', 'Romance', 'Seinen']",Completed
Asobi Asobase,"['Comedy', 'Gag Humor', 'School', 'Seinen']",Completed
Asobi ni Iku yo!,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci-Fi']",Completed
Assassins Pride,['Fantasy'],Completed
Assault Lily: Bouquet,"['Action', 'Fantasy']",Completed
B: The Beginning,"['Action', 'Detective', 'Mystery', 'Psychological', 'Super Power', 'Suspense']",Completed
Back Street Girls: Gokudolls,"['Comedy', 'Ecchi', 'Gag Humor', 'Magical Sex Shift', 'Organized Crime', 'Seinen', 'Workplace']",Completed
Baka to Test to Shoukanjuu,"['Comedy', 'Love Polygon', 'Romance', 'School']",Completed
Bakugan Battle Brawlers: New Vestroia,"['Adventure', 'Fantasy', 'Strategy Game']",Completed
Barakamon,"['Childcare', 'Iyashikei', 'Slice of Life', 'Visual Arts']",Completed
Beastars,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']",Completed
Beastars 2nd Season,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']",Completed
Beelzebub,"['Action', 'Childcare', 'Comedy', 'Delinquents', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed
Ben-To,"['Action', 'Comedy', 'Gourmet', 'Martial Arts']",Completed
Binbougami ga!,"['Comedy', 'Gag Humor', 'Parody', 'Shounen', 'Supernatural']",Completed
Blend S,"['Comedy', 'Otaku Culture', 'Workplace']",Completed
Bocchi the Rock!,"['CGDCT', 'Comedy', 'Music']",Completed
Boku dake ga Inai Machi,"['Mystery', 'Psychological', 'Seinen', 'Suspense', 'Time Travel']",Completed
Boku no Hero Academia,"['Action', 'School', 'Shounen', 'Super Power']",Completed
Boku no Hero Academia 2nd Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed
Boku no Hero Academia 3rd Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed
Boku no Hero Academia 4th Season,"['Action', 'School', 'Shounen', 'Super Power']",Completed
Boku no Hero Academia the Movie 1: Futari no Hero,"['Action', 'Shounen', 'Super Power']",Completed
Boku no Kokoro no Yabai Yatsu,"['Comedy', 'Romance', 'School', 'Shounen']",Completed
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,"['Comedy', 'Josei', 'School']",Completed
Bokura wa Minna Kawai-sou,"['Love Status Quo', 'School', 'Seinen', 'Slice of Life']",Completed
Bokura wa Minna Kawai-sou: Hajimete no,"['Love Status Quo', 'School', 'Seinen', 'Slice of Life']",Completed
Bokusatsu Tenshi Dokuro-chan,"['Comedy', 'Ecchi', 'Gag Humor', 'Gore', 'Supernatural']",Completed
Bokusatsu Tenshi Dokuro-chan 2,"['Comedy', 'Ecchi', 'Gag Humor', 'Gore', 'Supernatural']",Completed
Bokutachi wa Benkyou ga Dekinai,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Bokutachi wa Benkyou ga Dekinai!,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Busou Shoujo Machiavellianism,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Shounen']",Completed
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou","['Action', 'Ecchi', 'School', 'Shounen']",Completed
Chainsaw Man,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",Completed
Charlotte,"['Drama', 'School', 'Super Power']",Completed
Charlotte: Tsuyoimono-tachi,"['Drama', 'School', 'Super Power']",Completed
Chio-chan no Tsuugakuro,"['Comedy', 'Seinen']",Completed
Chiyu Mahou no Machigatta Tsukaikata,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Chuunibyou demo Koi ga Shitai!,"['Comedy', 'Romance', 'School']",Completed
Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,"['Comedy', 'Romance', 'School']",Completed
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"['Comedy', 'Drama', 'Romance', 'School']",Completed
Chuunibyou demo Koi ga Shitai! Ren,"['Comedy', 'Romance', 'School']",Completed
Clannad,"['Drama', 'Romance', 'School']",Completed
Clannad: After Story,"['Drama', 'Romance']",Completed
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","['Drama', 'Romance', 'School']",Completed
Cyclops Shoujo Saipuu,"['Comedy', 'Ecchi', 'School', 'Slice of Life']",Completed
D-Frag!,"['Comedy', 'School', 'Seinen', 'Strategy Game']",Completed
D-Frag!*,"['Comedy', 'Seinen']",Completed
Dagashi Kashi,"['Comedy', 'Gourmet', 'Love Status Quo', 'Shounen']",Completed
