Title,Genres,Median Score
One Piece Fan Letter,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Steins;Gate,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",
Shingeki no Kyojin Season 3 Part 2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Ginga Eiyuu Densetsu,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Bleach: Sennen Kessen-hen,"['Action', 'Adventure', 'Shounen', 'Supernatural']",
Fruits Basket: The Final,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",
3-gatsu no Lion 2nd Season,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",
Kusuriya no Hitorigoto,"['Drama', 'Historical', 'Medical', 'Mystery']",
Owarimonogatari 2nd Season,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",
Shingeki no Kyojin: The Final Season - Kanketsu-hen,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Violet Evergarden Movie,"['Award Winning', 'Drama']",
Kingdom 3rd Season,"['Action', 'Historical', 'Military', 'Seinen']",
Bleach: Sennen Kessen-hen - Soukoku-tan,"['Action', 'Adventure', 'Shounen', 'Supernatural']",
Vinland Saga Season 2,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",
Shingeki no Kyojin: The Final Season,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Sen to Chihiro no Kamikakushi,"['Adventure', 'Award Winning', 'Fantasy', 'Mythology']",
Boku no Kokoro no Yabai Yatsu 2nd Season,"['Comedy', 'Romance', 'School', 'Shounen']",
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['School', 'Shounen', 'Sports', 'Team Sports']",
Hajime no Ippo,"['Combat Sports', 'Shounen', 'Sports']",
Shingeki no Kyojin: The Final Season Part 2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Vinland Saga,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",
Monogatari Series: Second Season,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",
Cowboy Bebop,"['Action', 'Adult Cast', 'Award Winning', 'Sci-Fi', 'Space']",
The First Slam Dunk,"['Award Winning', 'School', 'Shounen', 'Sports', 'Team Sports']",
Shiguang Dailiren,"['Adult Cast', 'Drama', 'Mystery', 'Super Power', 'Suspense', 'Time Travel']",
Kingdom 4th Season,"['Action', 'Historical', 'Military', 'Seinen']",
One Piece,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Ashita no Joe 2,"['Combat Sports', 'Drama', 'Shounen', 'Sports']",
Hibike! Euphonium 3,"['Drama', 'Music', 'Performing Arts', 'School']",
Kingdom 5th Season,"['Action', 'Historical', 'Military', 'Seinen']",
Monogatari Series: Off & Monster Season,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",
